ID_Producto,nombre_limpio,cantidad_base,unidad_base,categoria_base
4307673,LECHE CULTIVADA COLUN LIGHT LIGHT FRAMBUESA FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4307690,LECHE CULTIVADA COLUN LIGHT LIGHT FRUTILLA FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4524224,LECHE CULTIVADA LONCOLECHE CHIRIMOYA BOTELLA 900 ML UNIDAD,"900,00",ml,LACTEOS
4524241,LECHE CULTIVADA LONCOLECHE FRUTILLA BOTELLA 900 ML UNIDAD,"900,00",ml,LACTEOS
4317788,LECHE CULTIVADA NESTLE LIGHT FRUTILLA FIBRA BOTELLA 180 ML UNIDAD,"180,00",ml,LACTEOS
4284842,LECHE CULTIVADA NEXT CHIRIMOYA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4313895,LECHE CULTIVADA NEXT DURAZNO BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4312875,LECHE CULTIVADA NEXT DURAZNO BOTELLA 190 ML UNIDAD,"190,00",ml,LACTEOS
4284859,LECHE CULTIVADA NEXT FRUTILLA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4312892,LECHE CULTIVADA NEXT FRUTILLA BOTELLA 190 ML UNIDAD,"190,00",ml,LACTEOS
4303899,LECHE CULTIVADA NEXT LIGHT FRAMBUESA FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4282428,LECHE CULTIVADA SOPROLE CHIRIMOYA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4297167,LECHE CULTIVADA SOPROLE CHIRIMOYA BOTELLA 190 ML UNIDAD,"190,00",ml,LACTEOS
4291081,LECHE CULTIVADA SOPROLE DURAZNO BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4293631,LECHE CULTIVADA SOPROLE FRUTILLA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4298238,LECHE CULTIVADA SOPROLE LIGHT CHIRIMOYA FIBRA BOTELLA 180 ML UNIDAD,"180,00",ml,LACTEOS
4309662,LECHE CULTIVADA SOPROLE LIGHT DURAZNO FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4298306,LECHE CULTIVADA SOPROLE LIGHT FRAMBUESA FIBRA BOTELLA 180 ML UNIDAD,"180,00",ml,LACTEOS
4518985,LECHE CULTIVADA SOPROLE LIGHT FRUTILLA FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4298221,LECHE CULTIVADA SOPROLE LIGHT FRUTILLA FIBRA BOTELLA 180 ML UNIDAD,"180,00",ml,LACTEOS
4248224,LECHE DE SOYA NATURE COMPLEX VEGGIE MILKE CONDENSADA TARRO 330 G UNIDAD,"330,00",g,LACTEOS
4270443,LECHE DE SOYA NUTRAFIT CONDENSADA TARRO 330 G UNIDAD,"330,00",g,LACTEOS
4321448,LECHE DE SOYA OLVEBRA CONDENSADA TARRO 330 G UNIDAD,"330,00",g,LACTEOS
4211793,LECHE EN POLVO ALCAFOOD SEMIDESCREMADA 1 ANO O MAS BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4247119,LECHE EN POLVO ALCAFOOD SEMIDESCREMADA 12% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4247136,LECHE EN POLVO ALCAFOOD SEMIDESCREMADA 18% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4201185,LECHE EN POLVO ALCAFOOD SEMIDESCREMADA BOLSA 400 G UNIDAD,"400,00",g,LACTEOS
4247204,LECHE EN POLVO ALCAFOOD SEMIDESCREMADA BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4214700,LECHE EN POLVO ALCAFOOD SEMIDESCREMADA BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4214717,LECHE EN POLVO ALCAFOOD SEMIDESCREMADA PACK 700 G UNIDAD,"700,00",g,LACTEOS
4198431,LECHE EN POLVO CALO SEMIDESCREMADA 1 ANO O MAS BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4212099,LECHE EN POLVO CALO SEMIDESCREMADA 4 ANOS O MAS BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4233077,LECHE EN POLVO COLUN SEMIDESCREMADA 1 ANO O MAS BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4260107,LECHE EN POLVO COLUN SEMIDESCREMADA 3 ANOS O MAS BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4249771,LECHE EN POLVO COLUN SEMIDESCREMADA BOLSA 400 G UNIDAD,"400,00",g,LACTEOS
4213986,LECHE EN POLVO COLUN SEMIDESCREMADA BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4516554,LECHE EN POLVO COLUN SEMIDESCREMADA BOLSA 850 G UNIDAD,"850,00",g,LACTEOS
4221823,LECHE EN POLVO COLUN SEMIDESCREMADA BOLSA 900 G UNIDAD,"900,00",g,LACTEOS
4223472,LECHE EN POLVO DAFOOD SEMIDESCREMADA 12% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4249499,LECHE EN POLVO DAFOOD SEMIDESCREMADA 18% MG BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4238891,LECHE EN POLVO DAFOOD SEMIDESCREMADA CHOCOLATE 12% MG BOLSA 120 G UNIDAD,"120,00",g,LACTEOS
4247357,LECHE EN POLVO DESCREMADA ALCAFOOD 0% GRASA BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4214683,LECHE EN POLVO DESCREMADA ALCAFOOD BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4320324,LECHE EN POLVO DESCREMADA ALCAFOOD BOLSA 600 G UNIDAD,"600,00",g,LACTEOS
4249380,LECHE EN POLVO DESCREMADA ALCAFOOD BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
